"","date","province","country","lat","long","type","cases"
"82",2020-11-14,"","Georgia",42.3154,43.3569,"confirmed",3504
"83",2020-11-14,"","Georgia",42.3154,43.3569,"death",33
"84",2020-11-14,"","Georgia",42.3154,43.3569,"recovered",3163
"85",2020-11-13,"","Georgia",42.3154,43.3569,"confirmed",3473
"86",2020-11-13,"","Georgia",42.3154,43.3569,"death",37
"87",2020-11-13,"","Georgia",42.3154,43.3569,"recovered",3342
"88",2020-11-12,"","Georgia",42.3154,43.3569,"confirmed",3120
"89",2020-11-12,"","Georgia",42.3154,43.3569,"death",33
"90",2020-11-12,"","Georgia",42.3154,43.3569,"recovered",2358
"91",2020-11-11,"","Georgia",42.3154,43.3569,"confirmed",2911
"92",2020-11-11,"","Georgia",42.3154,43.3569,"death",45
"93",2020-11-11,"","Georgia",42.3154,43.3569,"recovered",2421
"94",2020-11-10,"","Georgia",42.3154,43.3569,"confirmed",2970
"95",2020-11-10,"","Georgia",42.3154,43.3569,"death",22
"96",2020-11-10,"","Georgia",42.3154,43.3569,"recovered",2348
"97",2020-11-09,"","Georgia",42.3154,43.3569,"confirmed",2927
"98",2020-11-09,"","Georgia",42.3154,43.3569,"death",24
"99",2020-11-09,"","Georgia",42.3154,43.3569,"recovered",2470
"100",2020-11-08,"","Georgia",42.3154,43.3569,"confirmed",2901
"101",2020-11-08,"","Georgia",42.3154,43.3569,"death",34
"102",2020-11-08,"","Georgia",42.3154,43.3569,"recovered",2799
"103",2020-11-07,"","Georgia",42.3154,43.3569,"confirmed",2859
"104",2020-11-07,"","Georgia",42.3154,43.3569,"death",18
"105",2020-11-07,"","Georgia",42.3154,43.3569,"recovered",2754
"106",2020-11-06,"","Georgia",42.3154,43.3569,"confirmed",2775
"107",2020-11-06,"","Georgia",42.3154,43.3569,"death",22
"108",2020-11-06,"","Georgia",42.3154,43.3569,"recovered",3560
"109",2020-11-05,"","Georgia",42.3154,43.3569,"confirmed",2401
"110",2020-11-05,"","Georgia",42.3154,43.3569,"death",20
"111",2020-11-05,"","Georgia",42.3154,43.3569,"recovered",2289
"112",2020-11-04,"","Georgia",42.3154,43.3569,"confirmed",2295
"113",2020-11-04,"","Georgia",42.3154,43.3569,"death",19
"114",2020-11-04,"","Georgia",42.3154,43.3569,"recovered",2537
"115",2020-11-03,"","Georgia",42.3154,43.3569,"confirmed",1943
"116",2020-11-03,"","Georgia",42.3154,43.3569,"death",20
"117",2020-11-03,"","Georgia",42.3154,43.3569,"recovered",1833
"118",2020-11-02,"","Georgia",42.3154,43.3569,"confirmed",1852
"119",2020-11-02,"","Georgia",42.3154,43.3569,"death",7
"120",2020-11-02,"","Georgia",42.3154,43.3569,"recovered",1696
"121",2020-11-01,"","Georgia",42.3154,43.3569,"confirmed",1791
"122",2020-11-01,"","Georgia",42.3154,43.3569,"death",28
"123",2020-11-01,"","Georgia",42.3154,43.3569,"recovered",2413
"124",2020-10-31,"","Georgia",42.3154,43.3569,"confirmed",1673
"125",2020-10-31,"","Georgia",42.3154,43.3569,"death",22
"126",2020-10-31,"","Georgia",42.3154,43.3569,"recovered",2881
"127",2020-10-30,"","Georgia",42.3154,43.3569,"confirmed",1696
"128",2020-10-30,"","Georgia",42.3154,43.3569,"death",12
"129",2020-10-30,"","Georgia",42.3154,43.3569,"recovered",2906
"130",2020-10-29,"","Georgia",42.3154,43.3569,"confirmed",1709
"131",2020-10-29,"","Georgia",42.3154,43.3569,"death",20
"132",2020-10-29,"","Georgia",42.3154,43.3569,"recovered",2075
"133",2020-10-28,"","Georgia",42.3154,43.3569,"confirmed",1731
"134",2020-10-28,"","Georgia",42.3154,43.3569,"death",15
"135",2020-10-28,"","Georgia",42.3154,43.3569,"recovered",2197
"136",2020-10-27,"","Georgia",42.3154,43.3569,"confirmed",1824
"137",2020-10-27,"","Georgia",42.3154,43.3569,"death",23
"138",2020-10-27,"","Georgia",42.3154,43.3569,"recovered",1262
"139",2020-10-26,"","Georgia",42.3154,43.3569,"confirmed",1872
"140",2020-10-26,"","Georgia",42.3154,43.3569,"death",14
"141",2020-10-26,"","Georgia",42.3154,43.3569,"recovered",603
"142",2020-10-25,"","Georgia",42.3154,43.3569,"confirmed",1928
"143",2020-10-25,"","Georgia",42.3154,43.3569,"death",8
"144",2020-10-25,"","Georgia",42.3154,43.3569,"recovered",604
"145",2020-10-24,"","Georgia",42.3154,43.3569,"confirmed",1941
"146",2020-10-24,"","Georgia",42.3154,43.3569,"death",10
"147",2020-10-24,"","Georgia",42.3154,43.3569,"recovered",412
"148",2020-10-23,"","Georgia",42.3154,43.3569,"confirmed",1759
"149",2020-10-23,"","Georgia",42.3154,43.3569,"death",5
"150",2020-10-23,"","Georgia",42.3154,43.3569,"recovered",350
"151",2020-10-22,"","Georgia",42.3154,43.3569,"confirmed",1595
"152",2020-10-22,"","Georgia",42.3154,43.3569,"death",6
"153",2020-10-22,"","Georgia",42.3154,43.3569,"recovered",398
"154",2020-10-21,"","Georgia",42.3154,43.3569,"confirmed",1351
"155",2020-10-21,"","Georgia",42.3154,43.3569,"death",14
"156",2020-10-21,"","Georgia",42.3154,43.3569,"recovered",337
"157",2020-10-20,"","Georgia",42.3154,43.3569,"confirmed",1194
"158",2020-10-20,"","Georgia",42.3154,43.3569,"death",15
"159",2020-10-20,"","Georgia",42.3154,43.3569,"recovered",328
"160",2020-10-19,"","Georgia",42.3154,43.3569,"confirmed",1186
"161",2020-10-19,"","Georgia",42.3154,43.3569,"death",7
"162",2020-10-19,"","Georgia",42.3154,43.3569,"recovered",278
"163",2020-10-18,"","Georgia",42.3154,43.3569,"confirmed",1192
"164",2020-10-18,"","Georgia",42.3154,43.3569,"death",8
"165",2020-10-18,"","Georgia",42.3154,43.3569,"recovered",233
"166",2020-10-17,"","Georgia",42.3154,43.3569,"confirmed",958
"167",2020-10-17,"","Georgia",42.3154,43.3569,"death",4
"168",2020-10-17,"","Georgia",42.3154,43.3569,"recovered",214
"169",2020-10-16,"","Georgia",42.3154,43.3569,"confirmed",887
"170",2020-10-16,"","Georgia",42.3154,43.3569,"death",11
"171",2020-10-16,"","Georgia",42.3154,43.3569,"recovered",246
"172",2020-10-15,"","Georgia",42.3154,43.3569,"confirmed",919
"173",2020-10-15,"","Georgia",42.3154,43.3569,"death",4
"174",2020-10-15,"","Georgia",42.3154,43.3569,"recovered",208
"175",2020-10-14,"","Georgia",42.3154,43.3569,"confirmed",680
"176",2020-10-14,"","Georgia",42.3154,43.3569,"death",7
"177",2020-10-14,"","Georgia",42.3154,43.3569,"recovered",292
"178",2020-10-13,"","Georgia",42.3154,43.3569,"confirmed",569
"179",2020-10-13,"","Georgia",42.3154,43.3569,"death",9
"180",2020-10-13,"","Georgia",42.3154,43.3569,"recovered",329
"181",2020-10-12,"","Georgia",42.3154,43.3569,"confirmed",478
"182",2020-10-12,"","Georgia",42.3154,43.3569,"death",8
"183",2020-10-12,"","Georgia",42.3154,43.3569,"recovered",211
"184",2020-10-11,"","Georgia",42.3154,43.3569,"confirmed",523
"185",2020-10-11,"","Georgia",42.3154,43.3569,"death",7
"186",2020-10-11,"","Georgia",42.3154,43.3569,"recovered",208
"187",2020-10-10,"","Georgia",42.3154,43.3569,"confirmed",519
"188",2020-10-10,"","Georgia",42.3154,43.3569,"death",6
"189",2020-10-10,"","Georgia",42.3154,43.3569,"recovered",253
"190",2020-10-09,"","Georgia",42.3154,43.3569,"confirmed",527
"191",2020-10-09,"","Georgia",42.3154,43.3569,"death",6
"192",2020-10-09,"","Georgia",42.3154,43.3569,"recovered",313
"193",2020-10-08,"","Georgia",42.3154,43.3569,"confirmed",472
"194",2020-10-08,"","Georgia",42.3154,43.3569,"death",3
"195",2020-10-08,"","Georgia",42.3154,43.3569,"recovered",318
"196",2020-10-07,"","Georgia",42.3154,43.3569,"confirmed",508
"197",2020-10-07,"","Georgia",42.3154,43.3569,"death",5
"198",2020-10-07,"","Georgia",42.3154,43.3569,"recovered",348
"199",2020-10-06,"","Georgia",42.3154,43.3569,"confirmed",549
"200",2020-10-06,"","Georgia",42.3154,43.3569,"death",4
